,id,creator_regularized,city,country,lat,lng,languages,lang_count,classification,photo_url
0,71197,cy1413,Abu Dhabi,United Arab Emirates,24.52454165,54.43358445,"['ARA', 'ENG', 'SPA']",3,school,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71197.jpeg
1,71215,cy1413,Abu Dhabi,United Arab Emirates,24.52398989,54.43413976,"['ARA', 'ENG']",2,school,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71215.jpeg
2,71224,cy1413,Abu Dhabi,United Arab Emirates,24.52400588,54.434143,"['ENG', 'FRA', 'JPN', 'SPA', 'ZHO']",5,school,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71224.jpeg
3,73344,cy1413,Abu Dhabi,United Arab Emirates,24.52316977,54.43504203,"['ARA', 'ENG']",2,school,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73344.jpeg
4,73347,cy1413,Abu Dhabi,United Arab Emirates,24.50114392,54.3889134,"['ARA', 'ENG']",2,shop,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73347.jpeg
5,73349,cy1413,Dubai,United Arab Emirates,25.13292382,55.11871465,"['ARA', 'ENG', 'ZHO']",3,transport,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73349.jpeg
6,73351,cy1413,Abu Dhabi,United Arab Emirates,24.52326891,54.43499241,['ENG'],1,school,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73351.jpeg
7,73352,cy1413,Abu Dhabi,United Arab Emirates,24.52390459,54.43417199,['ENG'],1,school,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73352.jpeg
8,73356,cy1413,Dubai,United Arab Emirates,25.07178957,55.30742414,"['ENG', 'JPN']",2,leisure,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73356.jpeg
9,73359,cy1413,Dubai,United Arab Emirates,25.0717589,55.30762531,"['ARA', 'ENG']",2,leisure,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73359.jpeg
10,73360,cy1413,Dubai,United Arab Emirates,25.07175374,55.30759379,['ARA'],1,leisure,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73360.jpeg
11,73361,cy1413,Dubai,United Arab Emirates,25.07178107,55.30757368,"['ARA', 'ENG']",2,leisure,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73361.jpeg
12,73363,cy1413,Dubai,United Arab Emirates,25.07169088,55.30749556,['ENG'],1,leisure,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73363.jpeg
13,73364,cy1413,Dubai,United Arab Emirates,25.07179048,55.30761994,"['ARA', 'ENG']",2,leisure,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73364.jpeg
14,73365,cy1413,Dubai,United Arab Emirates,25.07175799,55.30756529,"['ENG', 'ITA']",2,leisure,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73365.jpeg
15,73367,cy1413,Dubai,United Arab Emirates,25.06989851,55.24398085,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73367.jpeg
16,73382,cy1413,Dubai,United Arab Emirates,25.07002363,55.24414312,"['ARA', 'ENG', 'ZHO']",3,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73382.jpeg
17,73386,cy1413,Dubai,United Arab Emirates,25.07012901,55.24415016,"['ARA', 'ENG', 'ZHO']",3,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73386.jpeg
18,73392,cy1413,Abu Dhabi,United Arab Emirates,24.47925365,54.37012251,"['ARA', 'URD']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73392.jpeg
19,73393,cy1413,Abu Dhabi,United Arab Emirates,24.47918408,54.37020935,['BEN'],1,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73393.jpeg
20,73397,cy1413,Abu Dhabi,United Arab Emirates,24.47070277,54.37270213,"['ARA', 'ENG']",2,shop,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73397.jpeg
21,73399,cy1413,Dubai,United Arab Emirates,25.07028754,55.3044536,['ENG'],1,public,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73399.jpeg
22,73400,cy1413,Dubai,United Arab Emirates,25.06997079,55.30429401,"['ENG', 'KOR']",2,leisure,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73400.jpeg
23,73402,cy1413,Dubai,United Arab Emirates,25.06966649,55.30515935,"['ARA', 'ENG']",2,leisure,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73402.jpeg
24,73408,cy1413,Dubai,United Arab Emirates,25.06589004,55.30689508,"['ARA', 'ENG']",2,public,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73408.jpeg
25,73409,cy1413,Dubai,United Arab Emirates,25.069371,55.30931309,"['ARA', 'ENG', 'JPN']",3,shop,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73409.jpeg
26,73411,cy1413,Dubai,United Arab Emirates,25.06971204,55.30926649,"['ARA', 'ENG']",2,shop,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73411.jpeg
27,73412,cy1413,Dubai,United Arab Emirates,25.06968653,55.30926984,"['ARA', 'ENG', 'JPN']",3,shop,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73412.jpeg
